Quarter,StadiumType,Week,Position,Player_Activity,Impact_Type,g_time,x,y,FieldType,HomeScore,Score_Difference,GamePlay,GamePlay_ID,Twist
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:30.800,89.66000366,46.27999878,Natural,0,0,29-538,29-538-31023,68.08000189999998
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:30.900,89.65000153,46.29999924,Natural,0,0,29-538,29-538-31023,75.8500061
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.000,89.63999939,46.29000092,Natural,0,0,29-538,29-538-31023,83.16998290000001
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.100,89.62999725,46.27000046,Natural,0,0,29-538,29-538-31023,89.01998899999998
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.200,89.61000061,46.27000046,Natural,0,0,29-538,29-538-31023,93.11999510000001
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.300,89.58999634,46.25999832,Natural,0,0,29-538,29-538-31023,94.16999810000002
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.400,89.55999756,46.25999832,Natural,0,0,29-538,29-538-31023,94.39001460000003
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.500,89.52999878,46.29000092,Natural,0,0,29-538,29-538-31023,91.17001340000002
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.600,89.5,46.31999969,Natural,0,0,29-538,29-538-31023,85.19999689999997
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.700,89.47000122,46.34999847,Natural,0,0,29-538,29-538-31023,71.57998659999998
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.800,89.44999695,46.36999893,Natural,0,0,29-538,29-538-31023,59.460006799999974
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:31.900,89.44000244,46.38000107,Natural,0,0,29-538,29-538-31023,54.87001040000001
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.000,89.43000031,46.36000061,Natural,0,0,29-538,29-538-31023,53.860000600000006
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.100,89.40000153,46.33000183,Natural,0,0,29-538,29-538-31023,51.5
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.200,89.37999725,46.27999878,Natural,0,0,29-538,29-538-31023,47.3600007
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.300,89.36000061,46.25999832,Natural,0,0,29-538,29-538-31023,41.77000429999998
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.400,89.36000061,46.25,Natural,0,0,29-538,29-538-31023,21.909988400000003
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.500,89.31999969,46.27000046,Natural,0,0,29-538,29-538-31023,7.600006100000002
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.600,89.27999878,46.20999908,Natural,0,0,29-538,29-538-31023,38.759994500000005
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.700,89.26000214,46.16999817,Natural,0,0,29-538,29-538-31023,43.88000489999999
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.800,89.26000214,46.15000153,Natural,0,0,29-538,29-538-31023,41.240005499999995
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:32.900,89.25,46.13999939,Natural,0,0,29-538,29-538-31023,7.949997000000025
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:33.000,89.23999786,46.13999939,Natural,0,0,29-538,29-538-31023,68.52999879
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:33.100,89.25,46.13999939,Natural,0,0,29-538,29-538-31023,86.61999508000002
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:33.200,89.29000092,46.15000153,Natural,0,0,29-538,29-538-31023,89.88999554999998
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:33.300,89.36000061,46.16999817,Natural,0,0,29-538,29-538-31023,92.69999697
1,Outdoor,3,WR,Tackling,Helmet-to-body,2016-08-19 23:53:33.400,89.41999817,46.18999863,Natural,0,0,29-538,29-538-31023,89.97000506999998
